dataset,epoch,train_loss,train_mae,validation_loss,validation_mae,improved,early_stop_counter,epoch_seconds
WUSTL_IIOT,1,72499424664611.22,28096.46951549497,70996215582514.84,27570.16640893328,True,0,45.949490785598755
WUSTL_IIOT,2,72499420598389.36,28111.07528279566,70996207772284.81,27582.787396753585,True,0,52.48748564720154
WUSTL_IIOT,3,72499413863841.81,28122.3205240483,70996205594268.53,27592.994697099966,True,0,53.24938917160034
WUSTL_IIOT,4,72499412417585.53,28117.804261167126,70996206684532.42,27559.391790875416,False,1,51.52441906929016
WUSTL_IIOT,5,72499411693387.6,28096.832727921155,70996202881968.39,27559.406666919247,True,0,40.31733727455139
WUSTL_IIOT,6,72499409107095.39,28094.45870128515,70996196865589.16,27561.189525614485,True,0,47.44719171524048
WUSTL_IIOT,7,72499401665183.84,28095.622893588934,70996195051694.48,27561.20796778849,True,0,47.17615842819214
WUSTL_IIOT,8,72499400147904.62,28096.478711515774,70996192391948.61,27562.164658480902,True,0,48.94834589958191
WUSTL_IIOT,9,72499398263163.53,28097.639908865083,70996190642643.06,27564.318868754006,True,0,53.85693883895874
WUSTL_IIOT,10,72499395823566.88,28099.073024651116,70996188894756.53,27565.332248370443,True,0,55.09070062637329
WUSTL_IIOT,11,72499389592327.84,28099.822195240402,70996181449511.94,27565.564588512505,True,0,44.6059045791626
WUSTL_IIOT,12,72499386591711.47,28100.00253762891,70996178221521.22,27566.940321717,True,0,54.117193937301636
WUSTL_IIOT,13,72499385365887.9,28100.057952981344,70996177920636.28,27565.14646307096,True,0,45.09421467781067
WUSTL_IIOT,14,72499383765715.55,28099.846253247102,70996175159936.22,27565.962009701565,True,0,51.412561655044556
WUSTL_IIOT,15,72499376896515.86,28100.01529336155,70996167419306.42,27565.99423262022,True,0,45.30309081077576
WUSTL_IIOT,16,72499374305888.47,28100.65207971324,70996166359051.94,27565.824153888338,True,0,48.155898332595825
WUSTL_IIOT,17,72499373146564.81,28100.915749084492,70996164797781.45,27567.413218605507,True,0,52.37105345726013
WUSTL_IIOT,18,72499371158450.03,28101.271629198367,70996163367752.92,27566.52392545214,True,0,53.646302223205566
WUSTL_IIOT,19,72499366349788.9,28101.590076080494,70996157254154.72,27567.233249704463,True,0,43.5003707408905
WUSTL_IIOT,20,72499361484877.28,28101.813654888803,70996153572477.97,27566.8928875934,True,0,43.60761284828186
WUSTL_IIOT,21,72499360035235.42,28102.289148553347,70996153187587.8,27568.40887903424,True,0,50.95243811607361
WUSTL_IIOT,22,72499359207134.4,28101.975804865462,70996151490149.67,27566.78225427712,True,0,53.72554874420166
