dataset,threshold_source,percentile,threshold,accuracy,precision,recall,f1_score,roc_auc,pr_auc,predicted_attack_windows,predicted_attack_rate
HAI,train_normal_percentile,90.0,0.009950948879122734,0.8991759457691642,0.03085238707224649,0.7945088858146216,0.05939822107658281,0.9442262111293022,0.18634050845074335,241991,0.10318415987487815
HAI,train_normal_percentile,92.5,0.010368567891418934,0.9223646766164911,0.03794365714775014,0.7544961157816324,0.072253672555324,0.9442262111293022,0.18634050845074335,186856,0.07967477872144102
HAI,train_normal_percentile,95.0,0.010950067080557346,0.9458361084650828,0.05046088937126435,0.702564648292008,0.09415892349052635,0.9442262111293022,0.18634050845074335,130834,0.05578718370959998
HAI,train_normal_percentile,97.0,0.011675771325826645,0.9654320208559146,0.07197372349955211,0.641268489943599,0.129421618951483,0.9442262111293022,0.18634050845074335,83725,0.03570006233919515
HAI,train_normal_percentile,98.0,0.012235681526362896,0.9755913482407299,0.09582537885827237,0.6035968926253059,0.16539336327054296,0.9442262111293022,0.18634050845074335,59191,0.025238846102350554
HAI,train_normal_percentile,99.0,0.013182641938328743,0.9857796706000339,0.14914310824666765,0.5417686495690114,0.23389690342736377,0.9442262111293022,0.18634050845074335,34135,0.014555050796636925
HAI,train_normal_percentile,99.5,0.014070019125938416,0.9905152321687303,0.20832765744903056,0.48824092795573054,0.2920432845321451,0.9442262111293022,0.18634050845074335,22023,0.009390534164181485
HAI,train_normal_percentile,99.9,0.016293609514832497,0.994307604273177,0.3171092810215601,0.3646908587847185,0.3392397545040586,0.9442262111293022,0.18634050845074335,10807,0.004608068960282855
SWAT,train_normal_percentile,90.0,0.008922417648136616,0.8985489453496196,0.252864356419568,0.8504805591961555,0.3898259124681382,0.9482085531989003,0.7809279961678367,184771,0.1281610032530814
SWAT,train_normal_percentile,92.5,0.010473760776221752,0.9217949518280375,0.30608123972763557,0.8305300713557594,0.44731153278660396,0.9482085531989003,0.7809279961678367,149065,0.10339458004730494
SWAT,train_normal_percentile,95.0,0.014368860982358456,0.9446386582599829,0.3900142350642346,0.8029525265763798,0.5250153240060225,0.9482085531989003,0.7809279961678367,113101,0.07844920268292514
SWAT,train_normal_percentile,97.0,0.018519891425967216,0.9627144155204583,0.5070506620816468,0.7730085918159313,0.6124005854910698,0.9482085531989003,0.7809279961678367,83751,0.05809143308987244
SWAT,train_normal_percentile,98.0,0.02179213985800743,0.9715005098112658,0.6007654917484064,0.7514380369884957,0.6677072381722604,0.9482085531989003,0.7809279961678367,68714,0.047661457574685616
SWAT,train_normal_percentile,99.0,0.027285000309348106,0.9804530730868205,0.7475068918943921,0.7354376001164992,0.741423131623618,0.9482085531989003,0.7809279961678367,54049,0.037489508985857074
SWAT,train_normal_percentile,99.5,0.033685870468616486,0.9829702228603533,0.8462327362231642,0.6758955875928353,0.7515331835569858,0.9482085531989003,0.7809279961678367,43878,0.030434692136421332
SWAT,train_normal_percentile,99.9,0.05079635605216026,0.9851606772513196,0.964133503071899,0.6341561089267511,0.7650818052047875,0.9482085531989003,0.7809279961678367,36134,0.025063292895242454
WUSTL_IIOT,train_normal_percentile,90.0,150.20799255371094,0.9336540709184672,0.7577969186821226,0.9999425393031167,0.8621907777067633,0.9858216998385599,0.9056298300682941,114821,0.2738776172234652
WUSTL_IIOT,train_normal_percentile,92.5,254.02806091308594,0.95328950820767,0.8164175042465535,0.99975866507309,0.8988340316056475,0.9858216998385599,0.9056298300682941,106557,0.25416585170378925
WUSTL_IIOT,train_normal_percentile,95.0,945.5518188476562,0.9203658030445423,0.8370751206757844,0.7652730532315896,0.7995653426828683,0.9858216998385599,0.9056298300682941,79552,0.1897519809561065
WUSTL_IIOT,train_normal_percentile,97.0,987.185302734375,0.9388443905906374,0.9274700171330669,0.7651926082559529,0.8385524567556846,0.9858216998385599,0.9056298300682941,71791,0.17123999980917942
WUSTL_IIOT,train_normal_percentile,98.0,1168.94482421875,0.9468850926195371,0.9738721859539213,0.764606509147743,0.8566443920841541,0.9858216998385599,0.9056298300682941,68318,0.16295600154564666
WUSTL_IIOT,train_normal_percentile,99.0,3814.53125,0.9180568740727313,0.9789021861700192,0.6185299255309369,0.7580670150283807,0.9858216998385599,0.9056298300682941,54982,0.1311462114959856
WUSTL_IIOT,train_normal_percentile,99.5,8355.1181640625,0.7928523382676353,0.5343235648334003,0.015296037510342926,0.029740690672237925,0.9858216998385599,0.9056298300682941,2491,0.005941675690889749
WUSTL_IIOT,train_normal_percentile,99.9,9325600.0,0.7924444592860448,0.0,0.0,0.0,0.9858216998385599,0.9056298300682941,0,0.0
