dataset,top_feature,top_feature_index,anomaly_count,mean_top_feature_error,stride_category
HAI,Attack,101,3969,0.9964896355056138,Tampering
HAI,P1_PP04,83,3346,0.5031691930266248,Tampering
HAI,attack_P1,79,2866,0.9967208238161284,Tampering
HAI,P1_LCV01Z,21,1220,1.7620664639795414,Tampering
HAI,P1_LCV01D,20,806,1.283239701619515,Tampering
HAI,DM-PP04-D,249,748,0.47641923318412854,Tampering
HAI,P1_FCV02D,10,699,0.44038405490023896,Tampering
HAI,DM-FCV02-D,315,690,0.39917637269566025,Tampering
HAI,1001.5-OUT,257,678,0.3724246034096476,Tampering
HAI,P2_OnOff,46,559,1.0037089862422568,Tampering
HAI,DM-LIT01,324,433,0.6271272671966024,Tampering
HAI,DM-LCV01-Z,323,426,1.0800354821791112,Tampering
HAI,P1_FT01,14,425,1.0672595734456005,Tampering
HAI,DM-PCV01-Z,326,378,0.6955268891557814,Tampering
HAI,DM-FT01,319,376,1.5714981126341414,Tampering
HAI,P1_LIT01,22,307,0.5364703086571896,Tampering
HAI,DM-FT01Z,111,281,0.38667494896467897,Tampering
HAI,1002.21-OUT,271,263,1.3415162550859125,Tampering
HAI,1020.20-OUT,230,201,0.3381721082314923,Tampering
HAI,1020.18-OUT,229,184,0.4326413788873216,Tampering
HAI,attack_P2,80,179,1.000483096644865,Tampering
HAI,1004.21-OUT,142,174,0.46688442548801157,Tampering
HAI,DM-LCV01-MIS,298,166,0.8512036714209131,Tampering
HAI,DM-PCV02-Z,328,161,0.7497487512434492,Tampering
HAI,P1_PCV02D,25,158,0.6585183649123469,Tampering
HAI,P1_FT01Z,15,143,0.5373961043941391,Tampering
HAI,DM-PWIT-03,331,143,0.3776146268302744,Tampering
HAI,DM-PCV01-DEV,303,142,0.9387321316860091,Tampering
HAI,DM-PIT02,330,141,0.20047320066191626,Tampering
HAI,1002.31-OUT,273,136,1.5800243597477674,Tampering
HAI,P1_PCV01Z,24,133,0.46874805814341497,Tampering
HAI,DM-PIT01,329,133,0.39408908974855467,Tampering
HAI,DM-LCV01-D,322,109,0.469053800909891,Tampering
HAI,P1_PCV02Z,26,101,0.7174208385519462,Tampering
HAI,DM-PCV01-D,325,83,0.43943316803639193,Tampering
HAI,1004.24-OUT,143,82,0.4167835634292626,Tampering
HAI,1001.16-OUT,262,74,0.33248059532126867,Tampering
HAI,P2_VXT03,57,70,2.2196566771183694,Tampering
HAI,attack_P3,81,69,0.9251595601655435,Tampering
HAI,P2_Emerg,42,67,0.9939144938739378,Tampering
HAI,DM-HT01-D,297,66,0.45852207685961865,Tampering
HAI,1020.15-OUT,288,65,0.20672401579526756,Tampering
HAI,P4_ST_PS,76,59,0.37668476796756356,Tampering
HAI,DM-PCV02-D,327,53,0.6079964097940697,Tampering
HAI,P4_ST_LD,74,53,0.2511213941956466,Tampering
HAI,DQ04-LCV01-DEV,256,45,0.7088695320818159,Tampering
HAI,P2_SIT02,49,33,0.7192058545170408,Tampering
HAI,P2_SIT01,48,29,0.7767452022124981,Tampering
HAI,1002.30-OUT,272,25,0.7923291110992432,Tampering
HAI,DM-FCV02-Z,316,24,0.22871652680138746,Tampering
HAI,DM-LSH-03,245,21,0.99622719060807,Tampering
HAI,1001.20-OUT,264,20,0.25633652657270434,Tampering
HAI,P1_PIT02,28,19,0.31913596705386515,Tampering
HAI,1001.13-OUT,259,19,0.1388238378261265,Tampering
HAI,1001.17-OUT,263,16,0.38619319815188646,Tampering
HAI,P1_PIT01,27,16,0.36975417099893093,Tampering
HAI,P2_VIBTR02,96,14,1.7068072812897819,Tampering
HAI,P2_VT01,51,14,0.9540057054587773,Tampering
HAI,1020.13-OUT,286,14,0.2624065322535379,Tampering
HAI,1003.23-OUT,279,14,0.13902422040700912,Tampering
HAI,1001.14-OUT,260,13,0.13272341741965368,Tampering
HAI,GATEOPEN,295,11,0.14585537937554446,Tampering
HAI,P2_ATSW_Lamp,88,10,0.46334275007247927,Tampering
HAI,P4_ST_PO,75,9,0.2039954579538769,Tampering
HAI,P2_ManualSD,92,7,0.5048171920435769,Tampering
HAI,P2_MASW,90,7,0.40500273023332867,Tampering
HAI,P2_VIBTR04,98,6,1.5078405340512593,Tampering
HAI,P1_PP04D,102,5,0.4732838809490204,Tampering
HAI,P2_VYT02,58,5,0.23539265096187592,Tampering
HAI,P1_B2016,1,5,0.22469322681427,Tampering
HAI,P2_AutoGO,40,2,0.5136611461639404,Tampering
HAI,P4_HT_PS,70,2,0.4904543459415436,Tampering
HAI,P2_ManualGO,45,2,0.46065597236156464,Tampering
HAI,P2_MASW_Lamp,91,1,0.4737335741519928,Tampering
