dataset,rank,window_index,source_file,segment_idx,start,end,y_true,reconstruction_mae,threshold,top_feature_index,top_feature,top_feature_error,stride_category,alert_message
SWAT,1,1007853,merged.csv,0,1007853,1007863,1,0.2105485498905182,0.033685870468616486,33,UV401,0.6218942403793335,Tampering,SWAT | Window 1007853 | High reconstruction error on 'UV401' (0.621894) -> Potential Tampering
SWAT,2,1007852,merged.csv,0,1007852,1007862,1,0.21038560569286346,0.033685870468616486,49,P602,0.5921851992607117,Tampering,SWAT | Window 1007852 | High reconstruction error on 'P602' (0.592185) -> Potential Tampering
SWAT,3,1007854,merged.csv,0,1007854,1007864,1,0.20781631767749786,0.033685870468616486,33,UV401,0.6490839123725891,Tampering,SWAT | Window 1007854 | High reconstruction error on 'UV401' (0.649084) -> Potential Tampering
SWAT,4,1007851,merged.csv,0,1007851,1007861,1,0.20686225593090057,0.033685870468616486,49,P602,0.6234989166259766,Tampering,SWAT | Window 1007851 | High reconstruction error on 'P602' (0.623499) -> Potential Tampering
SWAT,5,1007850,merged.csv,0,1007850,1007860,1,0.20389440655708313,0.033685870468616486,49,P602,0.6593578457832336,Tampering,SWAT | Window 1007850 | High reconstruction error on 'P602' (0.659358) -> Potential Tampering
SWAT,6,1007855,merged.csv,0,1007855,1007865,1,0.20377303659915924,0.033685870468616486,9,MV201,0.7364959716796875,Tampering,SWAT | Window 1007855 | High reconstruction error on 'MV201' (0.736496) -> Potential Tampering
SWAT,7,1007849,merged.csv,0,1007849,1007859,1,0.2019990086555481,0.033685870468616486,49,P602,0.7010838389396667,Tampering,SWAT | Window 1007849 | High reconstruction error on 'P602' (0.701084) -> Potential Tampering
SWAT,8,1007845,merged.csv,0,1007845,1007855,1,0.2013169825077057,0.033685870468616486,49,P602,0.7980337142944336,Tampering,SWAT | Window 1007845 | High reconstruction error on 'P602' (0.798034) -> Potential Tampering
SWAT,9,1007844,merged.csv,0,1007844,1007854,1,0.20110179483890533,0.033685870468616486,49,P602,0.8138740658760071,Tampering,SWAT | Window 1007844 | High reconstruction error on 'P602' (0.813874) -> Potential Tampering
SWAT,10,1007846,merged.csv,0,1007846,1007856,1,0.2010979801416397,0.033685870468616486,49,P602,0.7843708992004395,Tampering,SWAT | Window 1007846 | High reconstruction error on 'P602' (0.784371) -> Potential Tampering
SWAT,11,1007847,merged.csv,0,1007847,1007857,1,0.20074786245822906,0.033685870468616486,49,P602,0.7619962692260742,Tampering,SWAT | Window 1007847 | High reconstruction error on 'P602' (0.761996) -> Potential Tampering
SWAT,12,1007843,merged.csv,0,1007843,1007853,1,0.20039735734462738,0.033685870468616486,49,P602,0.8316299319267273,Tampering,SWAT | Window 1007843 | High reconstruction error on 'P602' (0.831630) -> Potential Tampering
SWAT,13,1007848,merged.csv,0,1007848,1007858,1,0.19988121092319489,0.033685870468616486,49,P602,0.7424763441085815,Tampering,SWAT | Window 1007848 | High reconstruction error on 'P602' (0.742476) -> Potential Tampering
SWAT,14,1007842,merged.csv,0,1007842,1007852,1,0.19944635033607483,0.033685870468616486,49,P602,0.8507957458496094,Tampering,SWAT | Window 1007842 | High reconstruction error on 'P602' (0.850796) -> Potential Tampering
SWAT,15,1007841,merged.csv,0,1007841,1007851,1,0.19829000532627106,0.033685870468616486,49,P602,0.8703130483627319,Tampering,SWAT | Window 1007841 | High reconstruction error on 'P602' (0.870313) -> Potential Tampering
SWAT,16,1007856,merged.csv,0,1007856,1007866,1,0.19802463054656982,0.033685870468616486,9,MV201,0.7890356183052063,Tampering,SWAT | Window 1007856 | High reconstruction error on 'MV201' (0.789036) -> Potential Tampering
SWAT,17,1007820,merged.csv,0,1007820,1007830,1,0.19788989424705505,0.033685870468616486,25,AIT401,0.8228021860122681,Tampering,SWAT | Window 1007820 | High reconstruction error on 'AIT401' (0.822802) -> Potential Tampering
SWAT,18,1007819,merged.csv,0,1007819,1007829,1,0.197855606675148,0.033685870468616486,25,AIT401,0.8419760465621948,Tampering,SWAT | Window 1007819 | High reconstruction error on 'AIT401' (0.841976) -> Potential Tampering
SWAT,19,1007840,merged.csv,0,1007840,1007850,1,0.19593696296215057,0.033685870468616486,49,P602,0.8384073972702026,Tampering,SWAT | Window 1007840 | High reconstruction error on 'P602' (0.838407) -> Potential Tampering
SWAT,20,1007839,merged.csv,0,1007839,1007849,1,0.19455492496490479,0.033685870468616486,49,P602,0.7841385006904602,Tampering,SWAT | Window 1007839 | High reconstruction error on 'P602' (0.784139) -> Potential Tampering
SWAT,21,1007857,merged.csv,0,1007857,1007867,1,0.19424068927764893,0.033685870468616486,9,MV201,0.8402824401855469,Tampering,SWAT | Window 1007857 | High reconstruction error on 'MV201' (0.840282) -> Potential Tampering
SWAT,22,1007818,merged.csv,0,1007818,1007828,1,0.1941981464624405,0.033685870468616486,25,AIT401,0.8577559590339661,Tampering,SWAT | Window 1007818 | High reconstruction error on 'AIT401' (0.857756) -> Potential Tampering
SWAT,23,1007821,merged.csv,0,1007821,1007831,1,0.1938178539276123,0.033685870468616486,25,AIT401,0.7912070155143738,Tampering,SWAT | Window 1007821 | High reconstruction error on 'AIT401' (0.791207) -> Potential Tampering
SWAT,24,1007838,merged.csv,0,1007838,1007848,1,0.19273783266544342,0.033685870468616486,49,P602,0.7063618898391724,Tampering,SWAT | Window 1007838 | High reconstruction error on 'P602' (0.706362) -> Potential Tampering
SWAT,25,1007858,merged.csv,0,1007858,1007868,1,0.19198481738567352,0.033685870468616486,9,MV201,0.8839780688285828,Tampering,SWAT | Window 1007858 | High reconstruction error on 'MV201' (0.883978) -> Potential Tampering
SWAT,26,1007859,merged.csv,0,1007859,1007869,1,0.19139404594898224,0.033685870468616486,9,MV201,0.8370081782341003,Tampering,SWAT | Window 1007859 | High reconstruction error on 'MV201' (0.837008) -> Potential Tampering
SWAT,27,1007860,merged.csv,0,1007860,1007870,1,0.19094693660736084,0.033685870468616486,9,MV201,0.7899258136749268,Tampering,SWAT | Window 1007860 | High reconstruction error on 'MV201' (0.789926) -> Potential Tampering
SWAT,28,1007837,merged.csv,0,1007837,1007847,1,0.19069360196590424,0.033685870468616486,25,AIT401,0.6924201250076294,Tampering,SWAT | Window 1007837 | High reconstruction error on 'AIT401' (0.692420) -> Potential Tampering
SWAT,29,1007861,merged.csv,0,1007861,1007871,1,0.1905936896800995,0.033685870468616486,9,MV201,0.7425723075866699,Tampering,SWAT | Window 1007861 | High reconstruction error on 'MV201' (0.742572) -> Potential Tampering
SWAT,30,1007862,merged.csv,0,1007862,1007872,1,0.19027020037174225,0.033685870468616486,9,MV201,0.6948933601379395,Tampering,SWAT | Window 1007862 | High reconstruction error on 'MV201' (0.694893) -> Potential Tampering
SWAT,31,1007863,merged.csv,0,1007863,1007873,1,0.1898951530456543,0.033685870468616486,9,MV201,0.6467410326004028,Tampering,SWAT | Window 1007863 | High reconstruction error on 'MV201' (0.646741) -> Potential Tampering
SWAT,32,1007817,merged.csv,0,1007817,1007827,1,0.18940618634223938,0.033685870468616486,25,AIT401,0.8687856793403625,Tampering,SWAT | Window 1007817 | High reconstruction error on 'AIT401' (0.868786) -> Potential Tampering
SWAT,33,1007864,merged.csv,0,1007864,1007874,1,0.18881747126579285,0.033685870468616486,47,FIT601,0.6795741319656372,Tampering,SWAT | Window 1007864 | High reconstruction error on 'FIT601' (0.679574) -> Potential Tampering
SWAT,34,1007836,merged.csv,0,1007836,1007846,1,0.18849635124206543,0.033685870468616486,25,AIT401,0.7141451835632324,Tampering,SWAT | Window 1007836 | High reconstruction error on 'AIT401' (0.714145) -> Potential Tampering
SWAT,35,1007835,merged.csv,0,1007835,1007845,1,0.18604028224945068,0.033685870468616486,25,AIT401,0.7340494394302368,Tampering,SWAT | Window 1007835 | High reconstruction error on 'AIT401' (0.734049) -> Potential Tampering
SWAT,36,1007822,merged.csv,0,1007822,1007832,1,0.18573865294456482,0.033685870468616486,25,AIT401,0.7450476884841919,Tampering,SWAT | Window 1007822 | High reconstruction error on 'AIT401' (0.745048) -> Potential Tampering
SWAT,37,1007865,merged.csv,0,1007865,1007875,1,0.18507139384746552,0.033685870468616486,47,FIT601,0.7076715230941772,Tampering,SWAT | Window 1007865 | High reconstruction error on 'FIT601' (0.707672) -> Potential Tampering
SWAT,38,1007816,merged.csv,0,1007816,1007826,1,0.1844506710767746,0.033685870468616486,25,AIT401,0.8751015663146973,Tampering,SWAT | Window 1007816 | High reconstruction error on 'AIT401' (0.875102) -> Potential Tampering
SWAT,39,1007834,merged.csv,0,1007834,1007844,1,0.18310073018074036,0.033685870468616486,25,AIT401,0.7521626353263855,Tampering,SWAT | Window 1007834 | High reconstruction error on 'AIT401' (0.752163) -> Potential Tampering
SWAT,40,1007833,merged.csv,0,1007833,1007843,1,0.1784665286540985,0.033685870468616486,25,AIT401,0.7715979814529419,Tampering,SWAT | Window 1007833 | High reconstruction error on 'AIT401' (0.771598) -> Potential Tampering
SWAT,41,1007823,merged.csv,0,1007823,1007833,1,0.17713624238967896,0.033685870468616486,25,AIT401,0.7113996744155884,Tampering,SWAT | Window 1007823 | High reconstruction error on 'AIT401' (0.711400) -> Potential Tampering
SWAT,42,1007815,merged.csv,0,1007815,1007825,1,0.1768958866596222,0.033685870468616486,25,AIT401,0.8860788345336914,Tampering,SWAT | Window 1007815 | High reconstruction error on 'AIT401' (0.886079) -> Potential Tampering
SWAT,43,1007866,merged.csv,0,1007866,1007876,1,0.17595411837100983,0.033685870468616486,47,FIT601,0.7009106874465942,Tampering,SWAT | Window 1007866 | High reconstruction error on 'FIT601' (0.700911) -> Potential Tampering
SWAT,44,1007832,merged.csv,0,1007832,1007842,1,0.17367933690547943,0.033685870468616486,25,AIT401,0.7720291018486023,Tampering,SWAT | Window 1007832 | High reconstruction error on 'AIT401' (0.772029) -> Potential Tampering
SWAT,45,1007814,merged.csv,0,1007814,1007824,1,0.17167121171951294,0.033685870468616486,25,AIT401,0.8766385912895203,Tampering,SWAT | Window 1007814 | High reconstruction error on 'AIT401' (0.876639) -> Potential Tampering
SWAT,46,1007824,merged.csv,0,1007824,1007834,1,0.17106495797634125,0.033685870468616486,25,AIT401,0.6688207387924194,Tampering,SWAT | Window 1007824 | High reconstruction error on 'AIT401' (0.668821) -> Potential Tampering
SWAT,47,1255580,merged.csv,0,1255580,1255590,0,0.16924448311328888,0.033685870468616486,26,AIT402,0.9147455096244812,Tampering,SWAT | Window 1255580 | High reconstruction error on 'AIT402' (0.914746) -> Potential Tampering
SWAT,48,1007867,merged.csv,0,1007867,1007877,1,0.1689756214618683,0.033685870468616486,47,FIT601,0.6846920251846313,Tampering,SWAT | Window 1007867 | High reconstruction error on 'FIT601' (0.684692) -> Potential Tampering
SWAT,49,1007831,merged.csv,0,1007831,1007841,1,0.16887862980365753,0.033685870468616486,25,AIT401,0.7500980496406555,Tampering,SWAT | Window 1007831 | High reconstruction error on 'AIT401' (0.750098) -> Potential Tampering
SWAT,50,1255579,merged.csv,0,1255579,1255589,0,0.16844649612903595,0.033685870468616486,26,AIT402,0.9160529971122742,Tampering,SWAT | Window 1255579 | High reconstruction error on 'AIT402' (0.916053) -> Potential Tampering
SWAT,51,1255581,merged.csv,0,1255581,1255591,0,0.16783998906612396,0.033685870468616486,26,AIT402,0.9133256673812866,Tampering,SWAT | Window 1255581 | High reconstruction error on 'AIT402' (0.913326) -> Potential Tampering
SWAT,52,1007810,merged.csv,0,1007810,1007820,1,0.1671336442232132,0.033685870468616486,25,AIT401,0.8628894686698914,Tampering,SWAT | Window 1007810 | High reconstruction error on 'AIT401' (0.862889) -> Potential Tampering
SWAT,53,1007830,merged.csv,0,1007830,1007840,1,0.16694232821464539,0.033685870468616486,25,AIT401,0.7206730842590332,Tampering,SWAT | Window 1007830 | High reconstruction error on 'AIT401' (0.720673) -> Potential Tampering
SWAT,54,1007811,merged.csv,0,1007811,1007821,1,0.16685053706169128,0.033685870468616486,25,AIT401,0.8651808500289917,Tampering,SWAT | Window 1007811 | High reconstruction error on 'AIT401' (0.865181) -> Potential Tampering
SWAT,55,1007812,merged.csv,0,1007812,1007822,1,0.16675890982151031,0.033685870468616486,25,AIT401,0.8664937019348145,Tampering,SWAT | Window 1007812 | High reconstruction error on 'AIT401' (0.866494) -> Potential Tampering
SWAT,56,1007813,merged.csv,0,1007813,1007823,1,0.1666887402534485,0.033685870468616486,25,AIT401,0.8676952123641968,Tampering,SWAT | Window 1007813 | High reconstruction error on 'AIT401' (0.867695) -> Potential Tampering
SWAT,57,1007869,merged.csv,0,1007869,1007879,1,0.16588953137397766,0.033685870468616486,41,FIT504,0.7045580744743347,Tampering,SWAT | Window 1007869 | High reconstruction error on 'FIT504' (0.704558) -> Potential Tampering
SWAT,58,1007825,merged.csv,0,1007825,1007835,1,0.16569803655147552,0.033685870468616486,25,AIT401,0.6285052299499512,Tampering,SWAT | Window 1007825 | High reconstruction error on 'AIT401' (0.628505) -> Potential Tampering
SWAT,59,1007803,merged.csv,0,1007803,1007813,1,0.1656603068113327,0.033685870468616486,25,AIT401,0.8644755482673645,Tampering,SWAT | Window 1007803 | High reconstruction error on 'AIT401' (0.864476) -> Potential Tampering
SWAT,60,1007804,merged.csv,0,1007804,1007814,1,0.16565431654453278,0.033685870468616486,25,AIT401,0.8640152215957642,Tampering,SWAT | Window 1007804 | High reconstruction error on 'AIT401' (0.864015) -> Potential Tampering
SWAT,61,1007805,merged.csv,0,1007805,1007815,1,0.16564340889453888,0.033685870468616486,25,AIT401,0.863835334777832,Tampering,SWAT | Window 1007805 | High reconstruction error on 'AIT401' (0.863835) -> Potential Tampering
SWAT,62,1007802,merged.csv,0,1007802,1007812,1,0.16563734412193298,0.033685870468616486,25,AIT401,0.8649575114250183,Tampering,SWAT | Window 1007802 | High reconstruction error on 'AIT401' (0.864958) -> Potential Tampering
SWAT,63,1007801,merged.csv,0,1007801,1007811,1,0.16563592851161957,0.033685870468616486,25,AIT401,0.8655312657356262,Tampering,SWAT | Window 1007801 | High reconstruction error on 'AIT401' (0.865531) -> Potential Tampering
SWAT,64,1007800,merged.csv,0,1007800,1007810,1,0.1656152307987213,0.033685870468616486,25,AIT401,0.8662956953048706,Tampering,SWAT | Window 1007800 | High reconstruction error on 'AIT401' (0.866296) -> Potential Tampering
SWAT,65,1007806,merged.csv,0,1007806,1007816,1,0.16561254858970642,0.033685870468616486,25,AIT401,0.864118218421936,Tampering,SWAT | Window 1007806 | High reconstruction error on 'AIT401' (0.864118) -> Potential Tampering
SWAT,66,1007829,merged.csv,0,1007829,1007839,1,0.1656116098165512,0.033685870468616486,25,AIT401,0.6931287050247192,Tampering,SWAT | Window 1007829 | High reconstruction error on 'AIT401' (0.693129) -> Potential Tampering
SWAT,67,1007799,merged.csv,0,1007799,1007809,1,0.1655883640050888,0.033685870468616486,25,AIT401,0.8671979904174805,Tampering,SWAT | Window 1007799 | High reconstruction error on 'AIT401' (0.867198) -> Potential Tampering
SWAT,68,1007807,merged.csv,0,1007807,1007817,1,0.16558539867401123,0.033685870468616486,25,AIT401,0.8646665811538696,Tampering,SWAT | Window 1007807 | High reconstruction error on 'AIT401' (0.864667) -> Potential Tampering
SWAT,69,1007808,merged.csv,0,1007808,1007818,1,0.16555969417095184,0.033685870468616486,25,AIT401,0.8655632138252258,Tampering,SWAT | Window 1007808 | High reconstruction error on 'AIT401' (0.865563) -> Potential Tampering
SWAT,70,1007798,merged.csv,0,1007798,1007808,1,0.16553711891174316,0.033685870468616486,25,AIT401,0.8681408166885376,Tampering,SWAT | Window 1007798 | High reconstruction error on 'AIT401' (0.868141) -> Potential Tampering
SWAT,71,1007809,merged.csv,0,1007809,1007819,1,0.16553683578968048,0.033685870468616486,25,AIT401,0.8664819002151489,Tampering,SWAT | Window 1007809 | High reconstruction error on 'AIT401' (0.866482) -> Potential Tampering
SWAT,72,1007797,merged.csv,0,1007797,1007807,1,0.16547904908657074,0.033685870468616486,25,AIT401,0.8690269589424133,Tampering,SWAT | Window 1007797 | High reconstruction error on 'AIT401' (0.869027) -> Potential Tampering
SWAT,73,1007796,merged.csv,0,1007796,1007806,1,0.16543322801589966,0.033685870468616486,25,AIT401,0.8697390556335449,Tampering,SWAT | Window 1007796 | High reconstruction error on 'AIT401' (0.869739) -> Potential Tampering
SWAT,74,1007795,merged.csv,0,1007795,1007805,1,0.1654011458158493,0.033685870468616486,25,AIT401,0.8703963160514832,Tampering,SWAT | Window 1007795 | High reconstruction error on 'AIT401' (0.870396) -> Potential Tampering
SWAT,75,1007868,merged.csv,0,1007868,1007878,1,0.1653810441493988,0.033685870468616486,47,FIT601,0.6536203622817993,Tampering,SWAT | Window 1007868 | High reconstruction error on 'FIT601' (0.653620) -> Potential Tampering
SWAT,76,1007794,merged.csv,0,1007794,1007804,1,0.16538095474243164,0.033685870468616486,25,AIT401,0.8713165521621704,Tampering,SWAT | Window 1007794 | High reconstruction error on 'AIT401' (0.871317) -> Potential Tampering
SWAT,77,1007793,merged.csv,0,1007793,1007803,1,0.1653125286102295,0.033685870468616486,25,AIT401,0.8723655939102173,Tampering,SWAT | Window 1007793 | High reconstruction error on 'AIT401' (0.872366) -> Potential Tampering
SWAT,78,1255578,merged.csv,0,1255578,1255588,0,0.1652890294790268,0.033685870468616486,26,AIT402,0.9173126220703125,Tampering,SWAT | Window 1255578 | High reconstruction error on 'AIT402' (0.917313) -> Potential Tampering
SWAT,79,1007792,merged.csv,0,1007792,1007802,1,0.1652251034975052,0.033685870468616486,25,AIT401,0.8732079267501831,Tampering,SWAT | Window 1007792 | High reconstruction error on 'AIT401' (0.873208) -> Potential Tampering
SWAT,80,1007791,merged.csv,0,1007791,1007801,1,0.16512085497379303,0.033685870468616486,25,AIT401,0.8736628293991089,Tampering,SWAT | Window 1007791 | High reconstruction error on 'AIT401' (0.873663) -> Potential Tampering
SWAT,81,1007790,merged.csv,0,1007790,1007800,1,0.16504040360450745,0.033685870468616486,25,AIT401,0.873724639415741,Tampering,SWAT | Window 1007790 | High reconstruction error on 'AIT401' (0.873725) -> Potential Tampering
SWAT,82,1007789,merged.csv,0,1007789,1007799,1,0.16498000919818878,0.033685870468616486,25,AIT401,0.8731896281242371,Tampering,SWAT | Window 1007789 | High reconstruction error on 'AIT401' (0.873190) -> Potential Tampering
SWAT,83,1007788,merged.csv,0,1007788,1007798,1,0.164963960647583,0.033685870468616486,25,AIT401,0.8720390200614929,Tampering,SWAT | Window 1007788 | High reconstruction error on 'AIT401' (0.872039) -> Potential Tampering
SWAT,84,1007787,merged.csv,0,1007787,1007797,1,0.16493932902812958,0.033685870468616486,25,AIT401,0.8705479502677917,Tampering,SWAT | Window 1007787 | High reconstruction error on 'AIT401' (0.870548) -> Potential Tampering
SWAT,85,1007786,merged.csv,0,1007786,1007796,1,0.16490699350833893,0.033685870468616486,25,AIT401,0.868718147277832,Tampering,SWAT | Window 1007786 | High reconstruction error on 'AIT401' (0.868718) -> Potential Tampering
SWAT,86,1007785,merged.csv,0,1007785,1007795,1,0.1648624837398529,0.033685870468616486,25,AIT401,0.8670021891593933,Tampering,SWAT | Window 1007785 | High reconstruction error on 'AIT401' (0.867002) -> Potential Tampering
SWAT,87,1007784,merged.csv,0,1007784,1007794,1,0.1648147851228714,0.033685870468616486,25,AIT401,0.865267276763916,Tampering,SWAT | Window 1007784 | High reconstruction error on 'AIT401' (0.865267) -> Potential Tampering
SWAT,88,1007783,merged.csv,0,1007783,1007793,1,0.16477011144161224,0.033685870468616486,25,AIT401,0.8638092875480652,Tampering,SWAT | Window 1007783 | High reconstruction error on 'AIT401' (0.863809) -> Potential Tampering
SWAT,89,1007828,merged.csv,0,1007828,1007838,1,0.1647125482559204,0.033685870468616486,25,AIT401,0.6693081259727478,Tampering,SWAT | Window 1007828 | High reconstruction error on 'AIT401' (0.669308) -> Potential Tampering
SWAT,90,1007782,merged.csv,0,1007782,1007792,1,0.164708212018013,0.033685870468616486,25,AIT401,0.8630263209342957,Tampering,SWAT | Window 1007782 | High reconstruction error on 'AIT401' (0.863026) -> Potential Tampering
SWAT,91,1007781,merged.csv,0,1007781,1007791,1,0.1646660715341568,0.033685870468616486,25,AIT401,0.8626402020454407,Tampering,SWAT | Window 1007781 | High reconstruction error on 'AIT401' (0.862640) -> Potential Tampering
SWAT,92,1007780,merged.csv,0,1007780,1007790,1,0.16465796530246735,0.033685870468616486,25,AIT401,0.862511157989502,Tampering,SWAT | Window 1007780 | High reconstruction error on 'AIT401' (0.862511) -> Potential Tampering
SWAT,93,1007779,merged.csv,0,1007779,1007789,1,0.16462795436382294,0.033685870468616486,25,AIT401,0.8624747395515442,Tampering,SWAT | Window 1007779 | High reconstruction error on 'AIT401' (0.862475) -> Potential Tampering
SWAT,94,1007778,merged.csv,0,1007778,1007788,1,0.16459766030311584,0.033685870468616486,25,AIT401,0.8627904057502747,Tampering,SWAT | Window 1007778 | High reconstruction error on 'AIT401' (0.862790) -> Potential Tampering
SWAT,95,1007777,merged.csv,0,1007777,1007787,1,0.16457366943359375,0.033685870468616486,25,AIT401,0.8632704019546509,Tampering,SWAT | Window 1007777 | High reconstruction error on 'AIT401' (0.863270) -> Potential Tampering
SWAT,96,1007776,merged.csv,0,1007776,1007786,1,0.1645527482032776,0.033685870468616486,25,AIT401,0.8640187978744507,Tampering,SWAT | Window 1007776 | High reconstruction error on 'AIT401' (0.864019) -> Potential Tampering
SWAT,97,1007775,merged.csv,0,1007775,1007785,1,0.164523184299469,0.033685870468616486,25,AIT401,0.8647465705871582,Tampering,SWAT | Window 1007775 | High reconstruction error on 'AIT401' (0.864747) -> Potential Tampering
SWAT,98,1007774,merged.csv,0,1007774,1007784,1,0.16451343894004822,0.033685870468616486,25,AIT401,0.8655659556388855,Tampering,SWAT | Window 1007774 | High reconstruction error on 'AIT401' (0.865566) -> Potential Tampering
SWAT,99,1007771,merged.csv,0,1007771,1007781,1,0.16449391841888428,0.033685870468616486,25,AIT401,0.8669607043266296,Tampering,SWAT | Window 1007771 | High reconstruction error on 'AIT401' (0.866961) -> Potential Tampering
