dataset,top_feature,top_feature_index,anomaly_count,mean_top_feature_error,stride_category
SWAT,AIT402,26,30123,0.9329552243391689,Tampering
SWAT,LIT301,18,1970,0.5875230637828106,Tampering
SWAT,DPIT301,16,1619,0.788207870103313,Tampering
SWAT,P101,3,1513,0.5050479424015545,Tampering
SWAT,MV303,21,1215,0.41753989870165603,Tampering
SWAT,P203,12,1046,0.560615703492046,Tampering
SWAT,FIT201,8,638,0.47806994892586735,Tampering
SWAT,MV201,9,554,0.4624626793854934,Tampering
SWAT,UV401,33,536,0.6428801713149939,Tampering
SWAT,AIT203,7,486,0.2790118600299329,Tampering
SWAT,P102,4,477,0.990728343682719,Tampering
SWAT,AIT502,35,417,0.7264475201388343,Tampering
SWAT,FIT504,41,416,0.7990994521488364,Tampering
SWAT,AIT401,25,394,0.8164345587268094,Tampering
SWAT,FIT301,17,381,0.4843103838717844,Tampering
SWAT,P501,42,317,0.4226245914911998,Tampering
SWAT,MV301,19,229,0.43031094167950895,Tampering
SWAT,P201,10,221,0.5999728325265565,Tampering
SWAT,LIT401,28,190,0.3926505841706928,Tampering
SWAT,P205,14,161,0.4340943446070511,Tampering
SWAT,AIT501,34,142,0.6230708453017222,Tampering
SWAT,MV304,22,131,0.4639308965615644,Tampering
SWAT,P602,49,94,0.42313300754795685,Tampering
SWAT,MV101,2,75,0.5111633082230885,Tampering
SWAT,PIT502,45,74,0.3644743024094685,Tampering
SWAT,P302,24,67,0.5337322999292345,Tampering
SWAT,MV302,20,67,0.5016796519952034,Tampering
SWAT,FIT601,47,61,0.34094234323892436,Tampering
SWAT,P403,31,56,0.9728792959025928,Tampering
SWAT,P206,15,51,0.9707799997984194,Tampering
SWAT,P301,23,40,0.6712196804583073,Tampering
SWAT,AIT202,6,35,0.153597263778959,Tampering
SWAT,AIT504,37,24,0.45650847628712654,Tampering
SWAT,P402,30,23,0.6351730007192363,Tampering
SWAT,LIT101,1,16,0.3202582262456417,Tampering
SWAT,FIT401,27,13,0.7195036869782668,Tampering
SWAT,P204,13,4,0.8498929738998413,Tampering
SWAT,AIT201,5,2,0.38519638776779175,Tampering
