dataset,rank,window_index,source_file,segment_idx,start,end,y_true,reconstruction_mae,threshold,top_feature_index,top_feature,top_feature_error,stride_category,alert_message
HAI,1,798753,test5.csv,6,44603,44613,1,0.18381454050540924,0.014070019125938416,57,P2_VXT03,5.52954626083374,Tampering,HAI | Window 798753 | High reconstruction error on 'P2_VXT03' (5.529546) -> Potential Tampering
HAI,2,681758,test3.csv,4,75192,75202,1,0.1694497913122177,0.014070019125938416,57,P2_VXT03,5.145501136779785,Tampering,HAI | Window 681758 | High reconstruction error on 'P2_VXT03' (5.145501) -> Potential Tampering
HAI,3,490632,test2.csv,3,2858,2868,1,0.1482190489768982,0.014070019125938416,57,P2_VXT03,4.003113269805908,Tampering,HAI | Window 490632 | High reconstruction error on 'P2_VXT03' (4.003113) -> Potential Tampering
HAI,4,798754,test5.csv,6,44604,44614,1,0.11785110831260681,0.014070019125938416,57,P2_VXT03,5.431139945983887,Tampering,HAI | Window 798754 | High reconstruction error on 'P2_VXT03' (5.431140) -> Potential Tampering
HAI,5,681759,test3.csv,4,75193,75203,1,0.10686248540878296,0.014070019125938416,57,P2_VXT03,5.041518211364746,Tampering,HAI | Window 681759 | High reconstruction error on 'P2_VXT03' (5.041518) -> Potential Tampering
HAI,6,798755,test5.csv,6,44605,44615,1,0.09700842201709747,0.014070019125938416,57,P2_VXT03,5.407853126525879,Tampering,HAI | Window 798755 | High reconstruction error on 'P2_VXT03' (5.407853) -> Potential Tampering
HAI,7,2028968,end-test2.csv,16,198507,198517,0,0.09313568472862244,0.014070019125938416,323,DM-LCV01-Z,2.282012939453125,Tampering,HAI | Window 2028968 | High reconstruction error on 'DM-LCV01-Z' (2.282013) -> Potential Tampering
HAI,8,2028967,end-test2.csv,16,198506,198516,0,0.09295511990785599,0.014070019125938416,323,DM-LCV01-Z,2.282038927078247,Tampering,HAI | Window 2028967 | High reconstruction error on 'DM-LCV01-Z' (2.282039) -> Potential Tampering
HAI,9,2028969,end-test2.csv,16,198508,198518,0,0.09294470399618149,0.014070019125938416,323,DM-LCV01-Z,2.282381057739258,Tampering,HAI | Window 2028969 | High reconstruction error on 'DM-LCV01-Z' (2.282381) -> Potential Tampering
HAI,10,2028966,end-test2.csv,16,198505,198515,0,0.09278923273086548,0.014070019125938416,323,DM-LCV01-Z,2.282055377960205,Tampering,HAI | Window 2028966 | High reconstruction error on 'DM-LCV01-Z' (2.282055) -> Potential Tampering
HAI,11,2028970,end-test2.csv,16,198509,198519,0,0.09270574152469635,0.014070019125938416,323,DM-LCV01-Z,2.2828869819641113,Tampering,HAI | Window 2028970 | High reconstruction error on 'DM-LCV01-Z' (2.282887) -> Potential Tampering
HAI,12,2028965,end-test2.csv,16,198504,198514,0,0.09262135624885559,0.014070019125938416,323,DM-LCV01-Z,2.2820701599121094,Tampering,HAI | Window 2028965 | High reconstruction error on 'DM-LCV01-Z' (2.282070) -> Potential Tampering
HAI,13,2028964,end-test2.csv,16,198503,198513,0,0.09242765605449677,0.014070019125938416,323,DM-LCV01-Z,2.2821125984191895,Tampering,HAI | Window 2028964 | High reconstruction error on 'DM-LCV01-Z' (2.282113) -> Potential Tampering
HAI,14,2028971,end-test2.csv,16,198510,198520,0,0.09224724769592285,0.014070019125938416,323,DM-LCV01-Z,2.283491849899292,Tampering,HAI | Window 2028971 | High reconstruction error on 'DM-LCV01-Z' (2.283492) -> Potential Tampering
HAI,15,2028963,end-test2.csv,16,198502,198512,0,0.09220869839191437,0.014070019125938416,323,DM-LCV01-Z,2.2821364402770996,Tampering,HAI | Window 2028963 | High reconstruction error on 'DM-LCV01-Z' (2.282136) -> Potential Tampering
